WeatherDescription,Weighting,
Sunny,1,"'Sunny',"
Drizzle,1,"'Drizzle',"
Cloudy,1,"'Cloudy',"
Clear,1,"'Clear',"
Rain Shower,0.8,"'Rain Shower',"
Overcast,0.8,"'Overcast',"
"Haze, Mist",0.8,"'Haze, Mist',"
Haze,0.8,"'Haze',"
"Shower In Vicinity, Rain Shower",0.6,"'Shower In Vicinity, Rain Shower',"
"Shower In Vicinity, Rain",0.6,"'Shower In Vicinity, Rain',"
"Shower In Vicinity, Light Snow Shower",0.6,"'Shower In Vicinity, Light Snow Shower',"
"Shower In Vicinity, Light Rain And Snow Shower",0.6,"'Shower In Vicinity, Light Rain And Snow Shower',"
"Shower In Vicinity, Light Drizzle And Rain",0.6,"'Shower In Vicinity, Light Drizzle And Rain',"
"Shower In Vicinity, Heavy Rain Shower",0.6,"'Shower In Vicinity, Heavy Rain Shower',"
Shower In Vicinity,0.6,"'Shower In Vicinity',"
"Shallow Fog, Mist",0.6,"'Shallow Fog, Mist',"
Shallow Fog,0.6,"'Shallow Fog',"
"Rain, Rain Shower",0.6,"'Rain, Rain Shower',"
"Rain, Mist",0.6,"'Rain, Mist',"
"Rain, Light Rain",0.6,"'Rain, Light Rain',"
"Rain Shower, Light Rain Shower",0.6,"'Rain Shower, Light Rain Shower',"
Rain And Snow Shower,0.6,"'Rain And Snow Shower',"
Rain,0.6,"'Rain',"
Patchy snow possible,0.6,"'Patchy snow possible',"
Patchy sleet possible,0.6,"'Patchy sleet possible',"
Patchy rain possible,0.6,"'Patchy rain possible',"
Patchy moderate snow,0.6,"'Patchy moderate snow',"
Patchy light snow,0.6,"'Patchy light snow',"
Patchy light rain with thunder,0.6,"'Patchy light rain with thunder',"
Patchy light rain,0.6,"'Patchy light rain',"
Patchy light drizzle,0.6,"'Patchy light drizzle',"
Patchy heavy snow,0.6,"'Patchy heavy snow',"
Patches Of Fog,0.6,"'Patches Of Fog',"
Partly cloudy,0.6,"'Partly cloudy',"
"Parftial Fog, Mist",0.6,"'Parftial Fog, Mist',"
"Mist, Shallow Fog",0.6,"'Mist, Shallow Fog',"
"Mist, Rain Shower",0.6,"'Mist, Rain Shower',"
"Mist, Rain",0.6,"'Mist, Rain',"
"Mist, Patches Of Fog",0.6,"'Mist, Patches Of Fog',"
"Mist, Parftial Fog",0.6,"'Mist, Parftial Fog',"
"Mist, Light Rain",0.6,"'Mist, Light Rain',"
"Mist, Haze",0.6,"'Mist, Haze',"
"Mist, Freezing Fog",0.6,"'Mist, Freezing Fog',"
Mist,0.6,"'Mist',"
Light snow showers,0.6,"'Light snow showers',"
Light Snow Shower,0.6,"'Light Snow Shower',"
Light Snow,0.6,"'Light Snow',"
Light sleet showers,0.6,"'Light sleet showers',"
Light sleet,0.6,"'Light sleet',"
"Light Rain, Rain Shower",0.6,"'Light Rain, Rain Shower',"
"Light Rain, Rain",0.6,"'Light Rain, Rain',"
"Light Rain, Mist, Heavy Rain",0.6,"'Light Rain, Mist, Heavy Rain',"
"Light Rain, Mist",0.6,"'Light Rain, Mist',"
"Light Rain, Light Rain And Snow",0.6,"'Light Rain, Light Rain And Snow',"
"Light Rain, Light Drizzle And Rain",0.6,"'Light Rain, Light Drizzle And Rain',"
"Light Rain, Heavy Rain Shower",0.6,"'Light Rain, Heavy Rain Shower',"
"Light Rain, Heavy Rain",0.6,"'Light Rain, Heavy Rain',"
"Light Rain, Drizzle And Rain",0.6,"'Light Rain, Drizzle And Rain',"
"Light Rain, Drizzle",0.6,"'Light Rain, Drizzle',"
"Light Rain With Thunderstorm, Heavy Rain With Thunderstorm",0.6,"'Light Rain With Thunderstorm, Heavy Rain With Thunderstorm',"
Light Rain With Thunderstorm,0.6,"'Light Rain With Thunderstorm',"
"Light Rain Shower, Shower In Vicinity",0.6,"'Light Rain Shower, Shower In Vicinity',"
"Light Rain Shower, Rain Shower",0.6,"'Light Rain Shower, Rain Shower',"
"Light Rain Shower, Heavy Rain With Thunderstorm",0.6,"'Light Rain Shower, Heavy Rain With Thunderstorm',"
"Light Rain Shower, Heavy Rain Shower",0.6,"'Light Rain Shower, Heavy Rain Shower',"
Light rain shower,0.6,"'Light rain shower',"
"Light Rain And Snow, Light Rain And Snow Shower",0.6,"'Light Rain And Snow, Light Rain And Snow Shower',"
"Light Rain And Snow Shower, Rain And Snow Shower",0.6,"'Light Rain And Snow Shower, Rain And Snow Shower',"
Light Rain And Snow,0.6,"'Light Rain And Snow',"
Light rain,0.6,"'Light rain',"
"Light Drizzle, Mist, Drizzle",0.6,"'Light Drizzle, Mist, Drizzle',"
"Light Drizzle, Mist",0.6,"'Light Drizzle, Mist',"
"Light Drizzle, Light Rain",0.6,"'Light Drizzle, Light Rain',"
"Light Drizzle, Light Drizzle And Rain",0.6,"'Light Drizzle, Light Drizzle And Rain',"
"Light Drizzle, Drizzle And Rain",0.6,"'Light Drizzle, Drizzle And Rain',"
"Light Drizzle, Drizzle",0.6,"'Light Drizzle, Drizzle',"
"Light Drizzle And Rain, Rain",0.6,"'Light Drizzle And Rain, Rain',"
"Light Drizzle And Rain, Mist",0.6,"'Light Drizzle And Rain, Mist',"
"Light Drizzle And Rain, Light Rain",0.6,"'Light Drizzle And Rain, Light Rain',"
"Light Drizzle And Rain, Light Drizzle",0.6,"'Light Drizzle And Rain, Light Drizzle',"
"Light Drizzle And Rain, Heavy Rain",0.6,"'Light Drizzle And Rain, Heavy Rain',"
"Light Drizzle And Rain, Fog",0.6,"'Light Drizzle And Rain, Fog',"
"Light Drizzle And Rain, Drizzle And Rain, Mist",0.6,"'Light Drizzle And Rain, Drizzle And Rain, Mist',"
"Light Drizzle And Rain, Drizzle And Rain",0.6,"'Light Drizzle And Rain, Drizzle And Rain',"
Light Drizzle And Rain,0.6,"'Light Drizzle And Rain',"
Light drizzle,0.6,"'Light drizzle',"
"Haze, Drizzle And Rain",0.6,"'Haze, Drizzle And Rain',"
"Fog, Mist",0.6,"'Fog, Mist',"
"Fog In Vicinity, Mist",0.6,"'Fog In Vicinity, Mist',"
Fog,0.6,"'Fog',"
"Drizzle, Mist, Light Drizzle",0.6,"'Drizzle, Mist, Light Drizzle',"
"Drizzle, Light Rain",0.6,"'Drizzle, Light Rain',"
"Drizzle, Light Drizzle And Rain",0.6,"'Drizzle, Light Drizzle And Rain',"
"Drizzle, Light Drizzle",0.6,"'Drizzle, Light Drizzle',"
"Drizzle, Drizzle And Rain",0.6,"'Drizzle, Drizzle And Rain',"
"Drizzle And Rain, Rain",0.6,"'Drizzle And Rain, Rain',"
"Drizzle And Rain, Mist",0.6,"'Drizzle And Rain, Mist',"
"Drizzle And Rain, Light Rain",0.6,"'Drizzle And Rain, Light Rain',"
"Drizzle And Rain, Light Drizzle And Rain",0.6,"'Drizzle And Rain, Light Drizzle And Rain',"
"Drizzle And Rain, Light Drizzle",0.6,"'Drizzle And Rain, Light Drizzle',"
Drizzle And Rain,0.6,"'Drizzle And Rain',"
Heavy Drizzle,0.4,"'Heavy Drizzle',"
"Parftial Fog, Freezing Fog",0.4,"'Parftial Fog, Freezing Fog',"
Moderate rain at times,0.4,"'Moderate rain at times',"
Moderate rain,0.4,"'Moderate rain',"
Moderate or heavy snow showers,0.4,"'Moderate or heavy snow showers',"
Moderate or heavy sleet,0.4,"'Moderate or heavy sleet',"
Moderate or heavy rain with thunder,0.4,"'Moderate or heavy rain with thunder',"
Moderate or heavy rain shower,0.4,"'Moderate or heavy rain shower',"
"Freezing Fog, Mist",0.4,"'Freezing Fog, Mist',"
Freezing fog,0.4,"'Freezing fog',"
"Rain, Heavy Rain",0.2,"'Rain, Heavy Rain',"
"Rain Shower, Heavy Rain Shower",0.2,"'Rain Shower, Heavy Rain Shower',"
Moderate snow,0.2,"'Moderate snow',"
Heavy snow,0.2,"'Heavy snow',"
"Heavy Rain, Rain",0.2,"'Heavy Rain, Rain',"
"Heavy Rain With Thunderstorm, Rain With Thunderstorm",0.2,"'Heavy Rain With Thunderstorm, Rain With Thunderstorm',"
Heavy Rain With Thunderstorm,0.2,"'Heavy Rain With Thunderstorm',"
"Heavy Rain Shower, Thunderstorm In Vicinity, Rain Shower",0.2,"'Heavy Rain Shower, Thunderstorm In Vicinity, Rain Shower',"
"Heavy Rain Shower, Rain Shower",0.2,"'Heavy Rain Shower, Rain Shower',"
Heavy Rain Shower,0.2,"'Heavy Rain Shower',"
Heavy rain at times,0.2,"'Heavy rain at times',"
Heavy Rain,0.2,"'Heavy Rain',"
Unknown Precipitation,0,"'Unknown Precipitation',"
Torrential rain shower,0,"'Torrential rain shower',"
Thundery outbreaks possible,0,"'Thundery outbreaks possible',"
"Thunderstorm, Shower In Vicinity, Small Hail/Snow Pallets With Thunderstorm",0,"'Thunderstorm, Shower In Vicinity, Small Hail/Snow Pallets With Thunderstorm',"
"Thunderstorm In Vicinity, Light Rain Shower, Heavy Rain With Thunderstorm",0,"'Thunderstorm In Vicinity, Light Rain Shower, Heavy Rain With Thunderstorm',"
"Thunderstorm In Vicinity, Heavy Rain With Thunderstorm",0,"'Thunderstorm In Vicinity, Heavy Rain With Thunderstorm',"
"Thunderstorm In Vicinity, Heavy Rain Shower",0,"'Thunderstorm In Vicinity, Heavy Rain Shower',"
Thunderstorm In Vicinity,0,"'Thunderstorm In Vicinity',"
Thunderstorm,0,"'Thunderstorm',"
"Rain With Thunderstorm, Heavy Rain With Thunderstorm",0,"'Rain With Thunderstorm, Heavy Rain With Thunderstorm',"
Rain With Thunderstorm,0,"'Rain With Thunderstorm',"
"Rain Shower, Rain With Thunderstorm",0,"'Rain Shower, Rain With Thunderstorm',"
Blowing snow,0,"'Blowing snow',"
Blizzard,0,"'Blizzard',"
